network,station,start_date,latitude,longitude,elevation,channel,sample_rate,data_available
US,NLWA,2006-07-05T00:00:00.000000Z,47.3917,-123.8691,640.0,HNZ,200.0,True
UW,BILS,2015-03-30T00:00:00.000000Z,47.53966,-124.25138,62.0,HNZ,200.0,True
UW,BLN,1980-01-11T00:00:00.000000Z,48.006624,-122.972646,601.0,HNZ,200.0,True
UW,ERW,1997-12-01T00:00:00.000000Z,48.453827,-122.626121,387.0,HNZ,200.0,True
UW,HURR,2017-05-10T00:00:00.000000Z,47.97035,-123.49871,1605.0,HNZ,200.0,True
UW,LWCK,2015-01-29T00:00:00.000000Z,46.2778,-124.0536,60.4,HNZ,200.0,True
UW,MAC,2018-06-25T00:00:00.000000Z,47.2467,-122.5318,112.5,HNZ,200.0,True
UW,OOW2,2015-03-03T00:00:00.000000Z,47.74919,-124.17544,741.0,HNZ,200.0,True
UW,QCDG,2011-11-16T00:00:00.000000Z,48.10002,-122.58696,52.2,HNZ,200.0,True
UW,QCEN,2012-06-14T00:00:00.000000Z,46.71635,-122.9619,55.4,HNZ,200.0,True
UW,QCMM,2011-05-20T00:00:00.000000Z,47.28638,-122.50765,90.2,HNZ,200.0,True
UW,QFRZ,2010-09-28T00:00:00.000000Z,47.03468,-122.92066,56.4,HNZ,200.0,True
UW,QOCL,2010-09-02T00:00:00.000000Z,47.02649,-122.90044,53.3,HNZ,200.0,True
UW,QSKT,2011-05-24T00:00:00.000000Z,47.21344,-122.53312,116.9,HNZ,200.0,True
UW,QTNB,2010-09-01T00:00:00.000000Z,47.28922,-122.5569,78.8,HNZ,200.0,True
UW,UPL,2018-07-19T00:00:00.000000Z,47.214431,-122.546085,126.0,HNZ,200.0,True
